"","Variables","Description"
"102","calcium","calcium"
"103","potassium","potassium"
"104","chloride","chloride"
"105","sodium","sodium"
"106","Inorganic.Phosphorus","Inorganic.Phosphorus"
"107","serum.magnesium","serum.magnesium"
"108","creatine.kinase.isoenzyme.to.creatine.kinase","creatine.kinase.isoenzyme.to.creatine.kinase"
"109","hydroxybutyrate.dehydrogenase.to.lactate.dehydrogenase","hydroxybutyrate.dehydrogenase.to.lactate.dehydrogenase"
"110","hydroxybutyrate.dehydrogenase","hydroxybutyrate.dehydrogenase"
"111","glutamic.oxaloacetic.transaminase","glutamic.oxaloacetic.transaminase"
"112","creatine.kinase","creatine.kinase"
"113","creatine.kinase.isoenzyme","creatine.kinase.isoenzyme"
"114","lactate.dehydrogenase","lactate.dehydrogenase"
"115","brain.natriuretic.peptide","brain.natriuretic.peptide"
"116","high.sensitivity.protein","high.sensitivity.protein"
"117","nucleotidase","nucleotidase"
"118","fucosidase","fucosidase"
"119","albumin","albumin"
"120","white.globulin.ratio","white.globulin.ratio"
"121","cholinesterase","cholinesterase"
"122","glutamyltranspeptidase","glutamyltranspeptidase"
"123","glutamic.pyruvic.transaminase","glutamic.pyruvic.transaminase"
"124","glutamic.oxaliplatin","glutamic.oxaliplatin"
"125","indirect.bilirubin","indirect.bilirubin"
"126","alkaline.phosphatase","alkaline.phosphatase"
"127","globulin","globulin"
"128","direct.bilirubin","direct.bilirubin"
"129","total.bilirubin","total.bilirubin"
"130","total.bile.acid","total.bile.acid"
"131","total.protein","total.protein"
"132","erythrocyte.sedimentation.rate","erythrocyte.sedimentation.rate"
"133","cholesterol","cholesterol"
"134","low.density.lipoprotein.cholesterol","low.density.lipoprotein.cholesterol"
"135","triglyceride","triglyceride"
"136","high.density.lipoprotein.cholesterol","high.density.lipoprotein.cholesterol"
"137","homocysteine","homocysteine"
"138","apolipoprotein.A","apolipoprotein.A"
"139","apolipoprotein.B","apolipoprotein.B"
"140","lipoprotein","lipoprotein"
"141","pH","pH"
"142","standard.residual.base","standard.residual.base"
"143","standard.bicarbonate","standard.bicarbonate"
"144","partial.pressure.of.carbon.dioxide","partial.pressure.of.carbon.dioxide"
"145","total.carbon.dioxide","total.carbon.dioxide"
"146","methemoglobin","methemoglobin"
"147","hematocrit.blood.gas","hematocrit.blood.gas"
"148","reduced.hemoglobin","reduced.hemoglobin"
"149","potassium.ion","potassium.ion"
"150","chloride.ion","chloride.ion"
"151","sodium.ion","sodium.ion"
"152","glucose.blood.gas","glucose.blood.gas"
"153","lactate","lactate"
"154","measured.residual.base","measured.residual.base"
"155","measured.bicarbonate","measured.bicarbonate"
"156","carboxyhemoglobin","carboxyhemoglobin"
"157","body.temperature.blood.gas","body.temperature.blood.gas"
"158","oxygen.saturation","oxygen.saturation"
"159","partial.oxygen.pressure","partial.oxygen.pressure"
"160","oxyhemoglobin","oxyhemoglobin"
"161","anion.gap","anion.gap"
"162","free.calcium","free.calcium"
"163","total.hemoglobin","total.hemoglobin"
"164","GCS","GCS: range 3-15"
"165","dischargeDay","dischargeDay: days from admission to hospital discharge"
"166","ageCat","ageCat:the age is categorized"
